retriever,dataset,num_queries,precision@1,recall@1,f1@1,precision@3,recall@3,f1@3,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,mrr,map,hit_rate
semantic_basic,covidqa,15,0.9333333333333333,0.4,0.5193650793650795,0.9777777777777777,0.7833333333333333,0.866106442577031,0.7600000000000001,0.9666666666666667,0.8500000000000001,0.40000000000000013,1.0,0.5714285714285714,0.9666666666666667,0.9599867724867724,1.0
semantic_basic,finqa,15,0.9333333333333333,0.3222222222222222,0.47777777777777775,0.7555555555555554,0.7222222222222221,0.7333333333333333,0.5199999999999999,0.7888888888888889,0.6193843193843195,0.30666666666666664,0.888888888888889,0.45125678918782364,0.9666666666666667,0.8882539682539682,1.0
semantic_reranked,covidqa,15,0.9333333333333333,0.4,0.5193650793650795,0.9111111111111111,0.75,0.8190476190476191,0.7466666666666668,0.9333333333333333,0.8296296296296298,0.3933333333333334,1.0,0.564102564102564,0.9416666666666667,0.9299537037037037,1.0
semantic_reranked,finqa,15,1.0,0.3444444444444444,0.5111111111111111,0.6666666666666666,0.6555555555555556,0.6577777777777778,0.49333333333333335,0.788888888888889,0.6023809523809524,0.2933333333333333,0.9111111111111111,0.4402930402930403,1.0,0.8535978835978836,1.0
hybrid_basic,covidqa,15,0.8666666666666667,0.36666666666666664,0.474920634920635,0.9555555555555555,0.7666666666666667,0.8470588235294119,0.7600000000000001,0.9666666666666667,0.8500000000000001,0.40000000000000013,1.0,0.5714285714285714,0.9333333333333333,0.9385978835978837,1.0
hybrid_basic,finqa,15,0.9333333333333333,0.3222222222222222,0.47777777777777775,0.7555555555555554,0.7222222222222221,0.7333333333333333,0.5199999999999999,0.7888888888888889,0.6193843193843195,0.30666666666666664,0.888888888888889,0.45125678918782364,0.9666666666666667,0.8882539682539682,1.0
hybrid_reranked,covidqa,15,0.9333333333333333,0.4,0.5193650793650795,0.9111111111111111,0.75,0.8190476190476191,0.7333333333333335,0.9333333333333333,0.8203703703703706,0.3933333333333334,1.0,0.564102564102564,0.9416666666666667,0.9277314814814814,1.0
hybrid_reranked,finqa,15,1.0,0.3444444444444444,0.5111111111111111,0.6888888888888888,0.6777777777777777,0.6799999999999999,0.5066666666666667,0.8111111111111111,0.619047619047619,0.29999999999999993,0.9111111111111111,0.44761904761904764,1.0,0.8717283950617283,1.0
