retriever,total_queries,successful_queries,success_rate,avg_response_time,avg_context_length,precision@1,recall@1,f1@1,precision@3,recall@3,f1@3,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,mrr,map,hit_rate
semantic_basic,30,30,1.0,0.037403448422749834,1716.4,0.9333333333333333,0.36111111111111127,0.49857142857142855,0.8666666666666667,0.7527777777777778,0.7997198879551821,0.6400000000000001,0.8777777777777778,0.7346921596921596,0.35333333333333344,0.9444444444444444,0.5113426803081976,0.9666666666666667,0.9241203703703703,1.0
semantic_reranked,30,30,1.0,0.3997333526611328,1612.2333333333333,0.9666666666666667,0.3722222222222224,0.5152380952380953,0.7888888888888889,0.7027777777777777,0.7384126984126983,0.62,0.861111111111111,0.7160052910052909,0.34333333333333343,0.9555555555555555,0.5021978021978023,0.9708333333333333,0.8917757936507936,1.0
hybrid_basic,30,30,1.0,0.01954515775044759,1716.4,0.9,0.3444444444444446,0.4763492063492063,0.8555555555555555,0.7444444444444444,0.7901960784313726,0.6400000000000001,0.8777777777777778,0.7346921596921596,0.35333333333333344,0.9444444444444444,0.5113426803081976,0.95,0.9134259259259259,1.0
hybrid_reranked,30,30,1.0,0.38523781299591064,1635.5,0.9666666666666667,0.3722222222222224,0.5152380952380953,0.7999999999999999,0.7138888888888888,0.7495238095238095,0.62,0.8722222222222222,0.7197089947089947,0.3466666666666668,0.9555555555555555,0.505860805860806,0.9708333333333333,0.8997299382716049,1.0
